Bigram		Count	Probability
('Richard', 'W.')	 : 2	 : 0.0005331437711036076
('if', 'the')	 : 5	 : 0.0010659086871558003
('the', 'Fed')	 : 9	 : 0.0014212620807276862
('Fed', 'holds')	 : 1	 : 0.00035555555555555557
('holds', 'tight')	 : 1	 : 0.00035656979853806385
('tight', ',')	 : 1	 : 0.0003566969859104691
(',', 'it')	 : 12	 : 0.0017038007863695937
('it', 'may')	 : 2	 : 0.0005259467040673212
('may', 'be')	 : 7	 : 0.0014222222222222223
('be', 'able')	 : 4	 : 0.0008750437521876093
('able', 'gradually')	 : 1	 : 0.0003564427018356799
('gradually', 'to')	 : 1	 : 0.0003566969859104691
('to', 'reduce')	 : 2	 : 0.00047961630695443646
('reduce', 'inflation')	 : 1	 : 0.0003566333808844508
('inflation', ',')	 : 1	 : 0.0003566333808844508
(',', 'moving')	 : 1	 : 0.0002621231979030144
('moving', 'toward')	 : 1	 : 0.0003566969859104691
('toward', 'the')	 : 5	 : 0.0010689470871191875
('the', 'zero-inflation')	 : 1	 : 0.0002842524161455372
('zero-inflation', 'goal')	 : 1	 : 0.0003566969859104691
('goal', 'that')	 : 1	 : 0.0003566969859104691
('that', 'the')	 : 52	 : 0.009039740747057821
('the', 'Fed')	 : 9	 : 0.0014212620807276862
('Fed', 'chairman')	 : 4	 : 0.0008888888888888889
('chairman', 'embraced')	 : 1	 : 0.0003246753246753247
('embraced', 'in')	 : 1	 : 0.0003566969859104691
('in', 'testimony')	 : 1	 : 0.00033528918692372173
('testimony', 'to')	 : 1	 : 0.0003566969859104691
('to', 'Congress')	 : 1	 : 0.000319744204636291
('Congress', 'last')	 : 1	 : 0.00035618878005342833
('last', 'week')	 : 10	 : 0.0019507004788082993
('week', '.')	 : 3	 : 0.000711490572749911
('.', 'To')	 : 3	 : 0.0006056018168054504
('To', 'suggest')	 : 1	 : 0.00035650623885918
('suggest', 'that')	 : 1	 : 0.0003566969859104691
('that', 'a')	 : 4	 : 0.0008528057308545113
('a', '10')	 : 1	 : 0.0003232062055591467
('10', '%')	 : 3	 : 0.0007126313914127917
('%', 'drop')	 : 1	 : 0.00035335689045936394
('drop', 'in')	 : 4	 : 0.0008904719501335708
('in', 'ozone')	 : 1	 : 0.00033528918692372173
('ozone', 'by')	 : 1	 : 0.0003566333808844508
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'middle')	 : 17	 : 0.002558271745309835
('middle', 'of')	 : 12	 : 0.0023061912364733014
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'next')	 : 7	 : 0.0011370096645821489
('next', 'century')	 : 2	 : 0.0005332385353714896
('century', 'would')	 : 1	 : 0.0003566333808844508
('would', 'be')	 : 21	 : 0.003865073787772312
('be', 'negligible')	 : 1	 : 0.00035001750087504374
('negligible', 'is')	 : 1	 : 0.0003566969859104691
('is', 'irresponsible')	 : 1	 : 0.00034524426031417227
('irresponsible', 'and')	 : 2	 : 0.0005349500713266762
('and', 'shortsighted')	 : 1	 : 0.0003183192742320548
('shortsighted', '.')	 : 1	 : 0.0003566969859104691
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'It')	 : 10	 : 0.0018790570550051248
('It', "'s")	 : 9	 : 0.0017768301350390902
("'s", 'pretty')	 : 1	 : 0.00033383408446002337
('pretty', 'much')	 : 1	 : 0.0003566333808844508
('much', 'weak')	 : 1	 : 0.00035618878005342833
('weak', 'across')	 : 1	 : 0.0003566333808844508
('across', 'the')	 : 13	 : 0.0024915465385299874
('the', 'board')	 : 144	 : 0.02060830017055145
('board', ',')	 : 32	 : 0.005525787006028131
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'said')	 : 48	 : 0.008380365999657944
('said', 'Martin')	 : 1	 : 0.00033973161202649905
('Martin', 'Regalia')	 : 1	 : 0.00035650623885918
('Regalia', ',')	 : 1	 : 0.0003566969859104691
(',', 'chief')	 : 9	 : 0.001310615989515072
('chief', 'economist')	 : 2	 : 0.0005175983436853002
('economist', 'of')	 : 2	 : 0.0005349500713266762
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'National')	 : 4	 : 0.0007106310403638431
('National', 'Council')	 : 1	 : 0.0003558085749866572
('Council', 'of')	 : 5	 : 0.0010685663401602849
('of', 'Savings')	 : 1	 : 0.0003056234718826406
('Savings', 'Institutions')	 : 1	 : 0.00035650623885918
('Institutions', '.')	 : 1	 : 0.0003566969859104691
('.', 'He')	 : 30	 : 0.004693414080242241
('He', 'said')	 : 1	 : 0.0003545470661230278
('said', 'that')	 : 15	 : 0.0027178528962119924
('that', 'when')	 : 1	 : 0.00034112229234180454
('when', 'he')	 : 5	 : 0.0010649627263045794
('he', 'was')	 : 6	 : 0.001229796205200281
('was', 'on')	 : 2	 : 0.0005189413596263622
('on', 'the')	 : 65	 : 0.011466296038915913
('the', 'board')	 : 144	 : 0.02060830017055145
('board', 'he')	 : 2	 : 0.0005023442732752846
('he', 'felt')	 : 1	 : 0.00035137034434293746
('felt', 'that')	 : 2	 : 0.0005348546978070957
('that', 'he')	 : 11	 : 0.0020467337540508272
('he', 'had')	 : 4	 : 0.0008784258608573436
('had', 'a')	 : 4	 : 0.0008843296781039972
('a', 'great')	 : 1	 : 0.0003232062055591467
('great', 'deal')	 : 1	 : 0.00035656979853806385
('deal', 'of')	 : 1	 : 0.00035650623885918
('of', 'power')	 : 1	 : 0.0003056234718826406
('power', 'and')	 : 1	 : 0.00035618878005342833
('and', ',')	 : 2	 : 0.0004774789113480821
(',', 'somehow')	 : 1	 : 0.0002621231979030144
('somehow', ',')	 : 1	 : 0.0003566969859104691
(',', 'he')	 : 10	 : 0.0014416775884665792
('he', 'did')	 : 2	 : 0.0005270555165144061
('did', "n't")	 : 13	 : 0.0024906600249066002
("n't", 'think')	 : 2	 : 0.000526685393258427
('think', 'that')	 : 4	 : 0.0008907892392659896
('that', 'was')	 : 2	 : 0.0005116834385127068
('was', 'a')	 : 4	 : 0.0008649022660439371
('a', 'good')	 : 4	 : 0.0008080155138978668
('good', 'thing')	 : 1	 : 0.00035650623885918
('thing', '.')	 : 1	 : 0.00035650623885918
('.', '-LRB-')	 : 2	 : 0.0004542013626040878
('-LRB-', 'Opposed')	 : 1	 : 0.00035391966023712616
('Opposed', 'by')	 : 1	 : 0.0003566969859104691
('by', 'new')	 : 2	 : 0.0005225570458108344
('new', 'SEC')	 : 2	 : 0.0005289139633286319
('SEC', 'chairman')	 : 3	 : 0.0007125044531528322
('chairman', '-RRB-')	 : 2	 : 0.000487012987012987
('-RRB-', 'And')	 : 1	 : 0.00035391966023712616
('And', 'statements')	 : 1	 : 0.0003562522265764161
('statements', 'by')	 : 1	 : 0.0003566969859104691
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'chairman')	 : 39	 : 0.005685048322910745
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'IG')	 : 1	 : 0.0002842524161455372
('IG', 'Metall')	 : 1	 : 0.0003566969859104691
('Metall', 'labor')	 : 1	 : 0.0003566969859104691
('labor', 'union')	 : 1	 : 0.00035650623885918
('union', ',')	 : 3	 : 0.0007122507122507123
(',', 'Franz')	 : 1	 : 0.0002621231979030144
('Franz', 'Steinkuehler')	 : 1	 : 0.0003566969859104691
('Steinkuehler', ',')	 : 1	 : 0.0003566969859104691
(',', 'also')	 : 9	 : 0.001310615989515072
('also', 'cast')	 : 1	 : 0.00035323207347227127
('cast', 'a')	 : 2	 : 0.0005349500713266762
('a', 'cloud')	 : 1	 : 0.0003232062055591467
('cloud', 'over')	 : 1	 : 0.0003566969859104691
('over', 'trading')	 : 1	 : 0.00035542918073573843
('trading', ',')	 : 3	 : 0.0007117437722419929
(',', 'dealers')	 : 1	 : 0.0002621231979030144
('dealers', 'said')	 : 1	 : 0.0003566333808844508
('said', '.')	 : 18	 : 0.003227450314251741
('.', 'Ray')	 : 2	 : 0.0004542013626040878
('Ray', 'Shaw')	 : 1	 : 0.0003566333808844508
('Shaw', ',')	 : 2	 : 0.0005349500713266762
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'American')	 : 6	 : 0.001069682151589242
('American', 'City')	 : 1	 : 0.00035536602700781805
('City', ',')	 : 3	 : 0.0007123775601068567
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'he')	 : 21	 : 0.00373704773229149
('he', 'would')	 : 3	 : 0.0007027406886858749
('would', 'assume')	 : 1	 : 0.00035137034434293746
('assume', 'Mr.')	 : 2	 : 0.0005345687811831789
('Mr.', 'Russell')	 : 1	 : 0.00034578146611341634
('Russell', "'s")	 : 1	 : 0.0003566969859104691
("'s", 'responsibilities')	 : 1	 : 0.00033383408446002337
('responsibilities', 'if')	 : 1	 : 0.00035656979853806385
('if', 'a')	 : 2	 : 0.0005329543435779002
('a', 'successor')	 : 3	 : 0.0006464124111182935
('successor', 'is')	 : 1	 : 0.00035650623885918
('is', "n't")	 : 15	 : 0.002761954082513378
("n't", 'found')	 : 1	 : 0.00035112359550561797
('found', 'this')	 : 1	 : 0.00035650623885918
('this', 'month')	 : 4	 : 0.000877654906090925
('month', '.')	 : 7	 : 0.0014234875444839859
('.', 'In')	 : 38	 : 0.0059046177138531416
('In', 'addition')	 : 7	 : 0.001415929203539823
('addition', ',')	 : 6	 : 0.001246660730186999
(',', 'Ralph')	 : 2	 : 0.00039318479685452164
('Ralph', 'Ingersoll')	 : 1	 : 0.00035650623885918
('Ingersoll', 'II')	 : 1	 : 0.0003566969859104691
('II', ',')	 : 6	 : 0.0012473271560940842
(',', '43')	 : 2	 : 0.00039318479685452164
('43', ',')	 : 2	 : 0.0005349500713266762
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'and')	 : 140	 : 0.02288961038961039
('and', 'chief')	 : 157	 : 0.025147222664332326
('chief', 'executive')	 : 164	 : 0.028467908902691512
('executive', ',')	 : 18	 : 0.003278688524590164
(',', 'said')	 : 100	 : 0.013237221494102228
('said', 'he')	 : 21	 : 0.00373704773229149
('he', 'would')	 : 3	 : 0.0007027406886858749
('would', 'take')	 : 2	 : 0.0005270555165144061
('take', 'on')	 : 1	 : 0.0003557452863749555
('on', 'additional')	 : 1	 : 0.00034746351633078526
('additional', 'responsibilities')	 : 2	 : 0.0005336179295624333
('responsibilities', 'as')	 : 1	 : 0.00035656979853806385
('as', 'editor')	 : 1	 : 0.00034746351633078526
('editor', 'in')	 : 2	 : 0.0005347593582887701
('in', 'chief')	 : 2	 : 0.0005029337803855825
('chief', 'of')	 : 1	 : 0.0003450655624568668
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'company')	 : 84	 : 0.012080727686185332
('company', '.')	 : 22	 : 0.003997914131757344
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'Our')	 : 3	 : 0.0006832934745473181
('Our', 'ordnance')	 : 1	 : 0.00035656979853806385
('ordnance', 'business')	 : 1	 : 0.0003566969859104691
('business', 'has')	 : 1	 : 0.00035568202027387515
('has', 'been')	 : 17	 : 0.0031601123595505617
('been', 'hurt')	 : 1	 : 0.00035435861091424523
('hurt', 'very')	 : 1	 : 0.0003566333808844508
('very', 'badly')	 : 1	 : 0.0003564427018356799
('badly', 'by')	 : 1	 : 0.0003566969859104691
('by', 'the')	 : 43	 : 0.0076641700052255705
('the', 'slowdown')	 : 1	 : 0.0002842524161455372
('slowdown', ',')	 : 1	 : 0.0003566333808844508
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'says')	 : 37	 : 0.006499059346673508
('says', 'Arch')	 : 1	 : 0.00035323207347227127
('Arch', 'Scurlock')	 : 1	 : 0.0003566969859104691
('Scurlock', ',')	 : 1	 : 0.0003566969859104691
(',', 'TransTechnology')	 : 1	 : 0.0002621231979030144
('TransTechnology', "'s")	 : 1	 : 0.0003566969859104691
("'s", 'chairman')	 : 66	 : 0.011183441829410784
('chairman', '.')	 : 37	 : 0.006168831168831169
('.', 'Its')	 : 2	 : 0.0004542013626040878
('Its', 'chairman')	 : 1	 : 0.0003566333808844508
('chairman', 'told')	 : 1	 : 0.0003246753246753247
('told', 'the')	 : 5	 : 0.0010681858643403952
('the', 'union')	 : 4	 : 0.0007106310403638431
('union', 'to')	 : 1	 : 0.00035612535612535614
('to', 'prepare')	 : 2	 : 0.00047961630695443646
('prepare', 'for')	 : 2	 : 0.0005349500713266762
('for', 'the')	 : 40	 : 0.007115584866365845
('the', 'worst')	 : 1	 : 0.0002842524161455372
('worst', 'in')	 : 1	 : 0.0003566969859104691
('in', 'next')	 : 1	 : 0.00033528918692372173
('next', 'year')	 : 5	 : 0.001066477070742979
('year', "'s")	 : 3	 : 0.000709471443774388
("'s", 'confrontation')	 : 1	 : 0.00033383408446002337
('confrontation', 'with')	 : 1	 : 0.0003566333808844508
('with', 'employers')	 : 1	 : 0.00034995625546806647
('employers', 'over')	 : 1	 : 0.0003566969859104691
('over', 'a')	 : 2	 : 0.0005331437711036076
('a', 'new')	 : 20	 : 0.003393665158371041
('new', 'three-year')	 : 1	 : 0.0003526093088857546
('three-year', 'wage')	 : 1	 : 0.0003566969859104691
('wage', 'deal')	 : 1	 : 0.0003566333808844508
('deal', '.')	 : 1	 : 0.00035650623885918
('.', 'The')	 : 121	 : 0.01847085541256624
('The', 'Staar')	 : 1	 : 0.0003473428273706148
('Staar', 'board')	 : 1	 : 0.0003566333808844508
('board', 'also')	 : 2	 : 0.0005023442732752846
('also', 'said')	 : 10	 : 0.001942776404097492
('said', 'that')	 : 15	 : 0.0027178528962119924
('that', 'John')	 : 3	 : 0.0006822445846836091
('John', 'R.')	 : 3	 : 0.0007080899274207824
('R.', 'Ford')	 : 1	 : 0.0003558085749866572
('Ford', 'resigned')	 : 1	 : 0.00035650623885918
('resigned', 'as')	 : 9	 : 0.0017780938833570413
('as', 'a')	 : 25	 : 0.004517025712300208
('a', 'director')	 : 24	 : 0.004040077569489335
('director', ',')	 : 7	 : 0.001415929203539823
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'that')	 : 7	 : 0.001273277096928219
('that', 'Mr.')	 : 8	 : 0.0015350503155381204
('Mr.', 'Wolf')	 : 2	 : 0.0005186721991701245
('Wolf', 'was')	 : 1	 : 0.0003563156957063959
('was', 'named')	 : 42	 : 0.007438159487977858
('named', 'a')	 : 10	 : 0.0019424333392194949
('a', 'member')	 : 4	 : 0.0008080155138978668
('member', 'of')	 : 6	 : 0.0012457732692649937
('of', 'the')	 : 266	 : 0.040800733496332516
('the', 'board')	 : 144	 : 0.02060830017055145
('board', '.')	 : 57	 : 0.00971198928332217
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'Quality')	 : 1	 : 0.00034164673727365904
('Quality', 'junk')	 : 1	 : 0.0003566969859104691
('junk', 'bonds')	 : 3	 : 0.0007127583749109052
('bonds', 'will')	 : 1	 : 0.0003563791874554526
('will', 'continue')	 : 8	 : 0.0015734265734265735
('continue', 'to')	 : 3	 : 0.0007118704395799964
('to', 'trade')	 : 1	 : 0.000319744204636291
('trade', 'well')	 : 1	 : 0.00035656979853806385
('well', ',')	 : 1	 : 0.000355998576005696
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'says')	 : 37	 : 0.006499059346673508
('says', 'Michael')	 : 2	 : 0.0005298481102084069
('Michael', 'Holland')	 : 1	 : 0.0003559352197899982
('Holland', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Salomon')	 : 2	 : 0.0004584352078239609
('Salomon', 'Brothers')	 : 2	 : 0.0005349500713266762
('Brothers', 'Asset')	 : 1	 : 0.0003564427018356799
('Asset', 'Management')	 : 2	 : 0.0005347593582887701
('Management', 'Inc')	 : 1	 : 0.0003563791874554526
('Inc', '.')	 : 5	 : 0.0010693281055070398
('.', 'Mr.')	 : 67	 : 0.010295230885692657
('Mr.', 'Bailey')	 : 1	 : 0.00034578146611341634
('Bailey', 'said')	 : 1	 : 0.00035656979853806385
('said', 'he')	 : 21	 : 0.00373704773229149
('he', 'expects')	 : 4	 : 0.0008784258608573436
('expects', 'to')	 : 7	 : 0.0014237408791599928
('to', 'name')	 : 2	 : 0.00047961630695443646
('name', 'a')	 : 2	 : 0.0005348546978070957
('a', 'new')	 : 20	 : 0.003393665158371041
('new', 'group')	 : 1	 : 0.0003526093088857546
('group', 'president')	 : 1	 : 0.00035398230088495576
('president', 'to')	 : 1	 : 0.00035112359550561797
('to', 'head')	 : 3	 : 0.000639488409272582
('head', 'that')	 : 1	 : 0.000355998576005696
('that', 'operation')	 : 1	 : 0.00034112229234180454
('operation', 'following')	 : 1	 : 0.00035656979853806385
('following', 'the')	 : 1	 : 0.0003566333808844508
('the', 'Nov.')	 : 1	 : 0.0002842524161455372
('Nov.', '8')	 : 1	 : 0.0003566333808844508
('8', 'board')	 : 1	 : 0.00035656979853806385
('board', 'meeting')	 : 10	 : 0.001841929002009377
('meeting', '.')	 : 4	 : 0.0008884150675195451
('.', 'Among')	 : 3	 : 0.0006056018168054504
('Among', 'those')	 : 1	 : 0.00035656979853806385
('those', 'sighing')	 : 1	 : 0.0003559352197899982
('sighing', 'with')	 : 1	 : 0.0003566969859104691
('with', 'relief')	 : 1	 : 0.00034995625546806647
('relief', 'was')	 : 1	 : 0.00035656979853806385
('was', 'John')	 : 1	 : 0.0003459609064175748
('John', 'H.')	 : 1	 : 0.0003540449637103912
('H.', 'Gutfreund')	 : 1	 : 0.00035606195478013177
('Gutfreund', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', 'of')	 : 225	 : 0.03668831168831169
('of', 'Salomon')	 : 2	 : 0.0004584352078239609
('Salomon', 'Brothers')	 : 2	 : 0.0005349500713266762
('Brothers', ',')	 : 1	 : 0.0003564427018356799
(',', 'who')	 : 63	 : 0.008387942332896461
('who', 'took')	 : 1	 : 0.0003506311360448808
('took', 'to')	 : 3	 : 0.000711997152011392
('to', 'the')	 : 85	 : 0.013749000799360511
('the', 'firm')	 : 2	 : 0.00042637862421830583
('firm', "'s")	 : 2	 : 0.0005323868677905945
("'s", 'trading')	 : 1	 : 0.00033383408446002337
('trading', 'floor')	 : 1	 : 0.00035587188612099647
('floor', 'to')	 : 1	 : 0.00035650623885918
('to', 'monitor')	 : 2	 : 0.00047961630695443646
('monitor', 'yesterday')	 : 1	 : 0.0003566333808844508
('yesterday', "'s")	 : 1	 : 0.00035587188612099647
("'s", 'events')	 : 2	 : 0.000500751126690035
('events', '.')	 : 1	 : 0.00035656979853806385
('.', '``')	 : 93	 : 0.014231642694928085
('``', 'Mattel')	 : 1	 : 0.00034164673727365904
('Mattel', "'s")	 : 1	 : 0.0003566969859104691
("'s", 'world-wide')	 : 1	 : 0.00033383408446002337
('world-wide', 'volume')	 : 1	 : 0.0003566333808844508
('volume', 'has')	 : 1	 : 0.0003566333808844508
('has', 'grown')	 : 1	 : 0.00035112359550561797
('grown', '25')	 : 1	 : 0.0003566969859104691
('25', '%')	 : 2	 : 0.0005348546978070957
('%', 'in')	 : 3	 : 0.0007067137809187279
('in', 'a')	 : 23	 : 0.00402347024308466
('a', 'climate')	 : 1	 : 0.0003232062055591467
('climate', 'of')	 : 1	 : 0.0003566969859104691
('of', 'relatively')	 : 1	 : 0.0003056234718826406
('relatively', 'flat')	 : 1	 : 0.0003566969859104691
('flat', 'industry')	 : 1	 : 0.0003566333808844508
('industry', 'sales')	 : 1	 : 0.000355998576005696
('sales', ',')	 : 3	 : 0.0007116171499733144
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'said')	 : 48	 : 0.008380365999657944
('said', 'John')	 : 7	 : 0.0013589264481059962
('John', 'W.')	 : 1	 : 0.0003540449637103912
('W.', 'Amerman')	 : 1	 : 0.0003558085749866572
('Amerman', ',')	 : 1	 : 0.0003566969859104691
(',', 'chairman')	 : 187	 : 0.024639580602883356
('chairman', '.')	 : 37	 : 0.006168831168831169
('.', 'In')	 : 38	 : 0.0059046177138531416
('In', 'Japanese')	 : 1	 : 0.00035398230088495576
('Japanese', 'firms')	 : 1	 : 0.0003563156957063959
('firms', ',')	 : 2	 : 0.0005347593582887701
(',', 'the')	 : 111	 : 0.014678899082568808
('the', 'president')	 : 4	 : 0.0007106310403638431
('president', 'usually')	 : 1	 : 0.00035112359550561797
('usually', 'is')	 : 1	 : 0.0003566333808844508
('is', 'in')	 : 1	 : 0.00034524426031417227
('in', 'charge')	 : 1	 : 0.00033528918692372173
('charge', 'of')	 : 1	 : 0.0003566969859104691
('of', 'day-to-day')	 : 1	 : 0.0003056234718826406
('day-to-day', 'operations')	 : 1	 : 0.0003566333808844508
('operations', ',')	 : 2	 : 0.0005343783398646241
(',', 'while')	 : 4	 : 0.000655307994757536
('while', 'the')	 : 2	 : 0.0005343783398646241
('the', 'chairman')	 : 39	 : 0.005685048322910745
('chairman', "'s")	 : 10	 : 0.0017857142857142857
("'s", 'role')	 : 1	 : 0.00033383408446002337
('role', 'is')	 : 1	 : 0.00035656979853806385
('is', 'more')	 : 3	 : 0.0006904885206283445
('more', 'a')	 : 1	 : 0.0003551767004084532
('a', 'ceremonial')	 : 1	 : 0.0003232062055591467
('ceremonial', 'one')	 : 1	 : 0.0003566969859104691
('one', '.')	 : 2	 : 0.0005325758920646192
('.', 'Still')	 : 1	 : 0.0003028009084027252
('Still', ',')	 : 1	 : 0.0003566969859104691
(',', 'it')	 : 12	 : 0.0017038007863695937
('it', 'was')	 : 15	 : 0.002805049088359046
('was', 'in')	 : 3	 : 0.0006919218128351496
('in', 'Argentine')	 : 1	 : 0.00033528918692372173
('Argentine', 'editions')	 : 1	 : 0.0003566969859104691
('editions', 'that')	 : 1	 : 0.0003566969859104691
('that', 'his')	 : 3	 : 0.0006822445846836091
('his', 'countrymen')	 : 1	 : 0.00035174111853675694
('countrymen', 'first')	 : 1	 : 0.0003566969859104691
('first', 'read')	 : 1	 : 0.00035612535612535614
('read', 'his')	 : 1	 : 0.0003566333808844508
('his', 'story')	 : 1	 : 0.00035174111853675694
('story', 'of')	 : 1	 : 0.0003566969859104691
('of', 'Pascal')	 : 1	 : 0.0003056234718826406
('Pascal', 'Duarte')	 : 1	 : 0.0003566969859104691
('Duarte', ',')	 : 1	 : 0.0003566969859104691
(',', 'a')	 : 68	 : 0.009043250327653997
('a', 'field')	 : 2	 : 0.0004848093083387201
('field', 'worker')	 : 1	 : 0.0003566333808844508
('worker', 'who')	 : 1	 : 0.0003566969859104691
('who', 'stabbed')	 : 1	 : 0.0003506311360448808
('stabbed', 'his')	 : 1	 : 0.0003566969859104691
('his', 'mother')	 : 1	 : 0.00035174111853675694
('mother', 'to')	 : 1	 : 0.0003566969859104691
('to', 'death')	 : 2	 : 0.00047961630695443646
('death', 'and')	 : 1	 : 0.00035650623885918
('and', 'has')	 : 1	 : 0.0003183192742320548
('has', 'no')	 : 2	 : 0.000526685393258427
('no', 'regrets')	 : 1	 : 0.00035555555555555557
('regrets', 'as')	 : 1	 : 0.0003566969859104691
('as', 'he')	 : 2	 : 0.0005211952744961779
('he', 'awaits')	 : 1	 : 0.00035137034434293746
('awaits', 'his')	 : 1	 : 0.0003566969859104691
('his', 'end')	 : 1	 : 0.00035174111853675694
('end', 'in')	 : 1	 : 0.0003562522265764161
('in', 'a')	 : 23	 : 0.00402347024308466
('a', 'prison')	 : 1	 : 0.0003232062055591467
('prison', 'cell')	 : 1	 : 0.0003566969859104691
('cell', ':')	 : 1	 : 0.0003566969859104691
(':', '``')	 : 12	 : 0.0023082386363636365
('``', 'Fate')	 : 1	 : 0.00034164673727365904
('Fate', 'directs')	 : 1	 : 0.0003566969859104691
('directs', 'some')	 : 1	 : 0.0003566969859104691
('some', 'men')	 : 1	 : 0.0003553028957186001
('men', 'down')	 : 1	 : 0.00035650623885918
('down', 'the')	 : 7	 : 0.001422475106685633
('the', 'flower-bordered')	 : 1	 : 0.0002842524161455372
('flower-bordered', 'path')	 : 1	 : 0.0003566969859104691
('path', ',')	 : 1	 : 0.0003566333808844508
(',', 'and')	 : 88	 : 0.011664482306684142
('and', 'others')	 : 4	 : 0.0007957981855801369
('others', 'down')	 : 1	 : 0.0003563791874554526
('down', 'the')	 : 7	 : 0.001422475106685633
('the', 'road')	 : 20	 : 0.002984650369528141
('road', 'bordered')	 : 1	 : 0.0003537944454272068
('bordered', 'with')	 : 1	 : 0.0003566969859104691
('with', 'thistles')	 : 1	 : 0.00034995625546806647
('thistles', 'and')	 : 1	 : 0.0003566969859104691
('and', 'prickly')	 : 1	 : 0.0003183192742320548
('prickly', 'pears')	 : 1	 : 0.0003566969859104691
('pears', '.')	 : 1	 : 0.0003566969859104691
('.', 'Robert')	 : 7	 : 0.0012112036336109008
('Robert', 'G.')	 : 3	 : 0.0007084661707403471
('G.', 'Hodson')	 : 1	 : 0.00035618878005342833
('Hodson', ',')	 : 1	 : 0.0003566333808844508
(',', '65')	 : 3	 : 0.0005242463958060288
('65', ',')	 : 2	 : 0.0005348546978070957
(',', 'retired')	 : 4	 : 0.000655307994757536
('retired', 'as')	 : 1	 : 0.00035618878005342833
('as', 'chairman')	 : 25	 : 0.004517025712300208
('chairman', 'but')	 : 2	 : 0.000487012987012987
('but', 'will')	 : 3	 : 0.0007090941322460556
('will', 'remain')	 : 13	 : 0.0024475524475524478
('remain', 'a')	 : 4	 : 0.0008882572392965003
('a', 'consultant')	 : 5	 : 0.0009696186166774402
('consultant', '.')	 : 2	 : 0.0005344735435595938
('.', 'While')	 : 2	 : 0.0004542013626040878
('While', 'Steppenwolf')	 : 1	 : 0.00035656979853806385
('Steppenwolf', 'was')	 : 1	 : 0.0003566969859104691
('was', 'in')	 : 3	 : 0.0006919218128351496
('in', 'London')	 : 4	 : 0.0008382229673093043
('London', 'with')	 : 1	 : 0.0003564427018356799
('with', '``')	 : 1	 : 0.00034995625546806647
('``', 'The')	 : 23	 : 0.004099760847283909
('The', 'Grapes')	 : 1	 : 0.0003473428273706148
('Grapes', 'of')	 : 1	 : 0.0003566969859104691
('of', 'Wrath')	 : 1	 : 0.0003056234718826406
('Wrath', ',')	 : 1	 : 0.0003566969859104691
(',', "''")	 : 115	 : 0.015203145478374836
("''", 'Bruce')	 : 1	 : 0.0003420557550880794
('Bruce', 'Sagan')	 : 1	 : 0.00035656979853806385
('Sagan', ',')	 : 1	 : 0.0003566969859104691
(',', 'the')	 : 111	 : 0.014678899082568808
('the', 'president')	 : 4	 : 0.0007106310403638431
('president', 'of')	 : 14	 : 0.0026334269662921348
('of', 'its')	 : 29	 : 0.004584352078239609
('its', 'board')	 : 34	 : 0.006102877070619006
('board', 'of')	 : 27	 : 0.004688546550569324
('of', 'directors')	 : 7	 : 0.0012224938875305623
('directors', ',')	 : 8	 : 0.001596877217885025
(',', 'quietly')	 : 1	 : 0.0002621231979030144
('quietly', 'returned')	 : 1	 : 0.0003566969859104691
('returned', 'to')	 : 3	 : 0.00071301247771836
('to', 'Chicago')	 : 1	 : 0.000319744204636291
('Chicago', 'to')	 : 1	 : 0.0003564427018356799
('to', 'buy')	 : 4	 : 0.0007993605115907274
('buy', 'a')	 : 1	 : 0.00035612535612535614
('a', 'piece')	 : 1	 : 0.0003232062055591467
('piece', 'of')	 : 1	 : 0.0003566969859104691
('of', 'real')	 : 1	 : 0.0003056234718826406
('real', 'estate')	 : 9	 : 0.0017806267806267807
('estate', 'in')	 : 1	 : 0.00035612535612535614
('in', 'the')	 : 92	 : 0.01559094719195306
('the', 'city')	 : 3	 : 0.0005685048322910744
('city', "'s")	 : 2	 : 0.0005348546978070957
("'s", 'rapidly')	 : 1	 : 0.00033383408446002337
('rapidly', 'reviving')	 : 1	 : 0.0003566333808844508
